order_item_id,order_id,product_id,quantity,unit_price_cents,discount_pct
1,1,143,2,3379,0
2,1,97,3,31743,0
3,2,105,1,5388,10
4,2,32,2,34048,15
5,2,71,2,6424,0
6,2,70,1,23703,0
7,2,122,1,5675,5
8,3,92,3,1168,0
9,3,18,2,69910,20
10,3,148,1,23262,15
11,4,64,1,11154,0
12,4,134,3,3277,10
13,5,18,2,69910,5
14,6,35,2,3958,15
15,7,49,1,5982,10
16,7,36,1,6799,0
17,7,118,1,2198,0
18,7,136,2,18015,15
19,7,16,1,11167,0
20,8,149,1,21714,15
21,8,74,2,5168,10
22,9,42,1,12253,0
23,9,46,3,24848,20
24,9,90,3,2547,0
25,9,12,3,8038,0
26,9,8,3,7533,5
27,10,131,2,18705,5
28,10,66,1,14182,15
29,10,109,1,7325,0
30,11,39,1,11179,20
31,11,84,2,13163,10
32,11,85,3,96244,0
33,11,92,2,1168,0
34,11,108,2,83584,0
35,12,104,1,1014,20
36,12,115,2,3558,10
37,12,67,3,1118,0
38,13,135,2,4575,10
39,13,6,2,2386,0
40,13,25,1,21576,10
41,14,77,2,16368,0
42,14,145,2,2749,15
43,14,3,2,4862,20
44,14,29,2,5679,0
45,15,77,3,16368,0
46,15,20,3,12448,15
47,15,104,3,1014,0
48,15,137,1,98300,0
49,15,123,2,5135,0
50,16,138,1,5435,0
51,16,108,3,83584,0
52,16,136,2,18015,10
53,16,12,2,8038,0
54,16,13,3,6575,10
55,17,80,3,25826,5
56,17,90,3,2547,10
57,17,137,2,98300,5
58,17,138,1,5435,0
59,18,129,2,22197,15
60,19,46,3,24848,0
61,19,142,1,7481,10
62,19,103,3,5734,0
63,19,40,1,8292,0
64,20,111,3,5235,5
65,20,136,3,18015,15
66,21,130,2,3932,0
67,21,142,2,7481,10
68,21,101,2,104734,10
69,22,80,3,25826,0
70,22,60,3,87675,15
71,22,77,2,16368,0
72,23,147,2,7155,5
73,24,92,2,1168,15
74,25,38,1,61947,0
75,25,29,3,5679,10
76,25,65,1,4314,15
77,26,27,1,5124,5
78,26,38,3,61947,5
79,26,2,2,4027,15
80,26,148,1,23262,20
81,27,63,1,32668,0
82,27,144,2,6276,20
83,27,11,2,12063,0
84,27,47,3,26189,20
85,27,112,2,8812,0
86,28,124,2,802,0
87,28,147,3,7155,5
88,28,142,2,7481,0
89,29,50,2,76133,10
90,29,4,3,9654,20
91,29,90,1,2547,0
92,30,50,1,76133,5
93,31,122,2,5675,0
94,31,72,3,56852,15
95,32,17,2,22827,0
96,32,32,1,34048,5
97,33,59,3,11729,10
98,33,37,2,13473,5
99,33,130,3,3932,10
100,33,42,2,12253,20
101,33,124,3,802,20
102,34,143,1,3379,20
103,34,96,3,31762,10
104,34,21,1,22149,10
105,34,30,3,64462,0
106,35,133,3,7704,5
107,35,25,1,21576,5
108,36,82,1,20813,15
109,36,6,1,2386,10
110,36,107,1,2852,0
111,36,69,2,1763,0
112,37,77,2,16368,0
113,38,122,1,5675,15
114,38,101,2,104734,0
115,38,22,1,7737,10
116,38,146,2,2879,10
117,39,126,3,44365,5
118,39,147,1,7155,0
119,39,116,2,49805,0
120,40,5,1,12605,10
121,40,65,1,4314,5
122,40,55,3,11943,15
123,40,19,3,8855,20
124,41,146,1,2879,0
125,41,58,3,5881,0
126,42,86,1,5085,5
127,42,64,2,11154,0
128,42,81,1,1827,10
129,42,39,3,11179,15
130,42,141,1,20886,15
131,43,142,1,7481,0
132,43,85,2,96244,0
133,43,112,3,8812,5
134,43,110,1,1902,20
135,44,111,2,5235,10
136,45,22,1,7737,10
137,45,123,3,5135,20
138,45,99,1,10798,0
139,46,58,1,5881,20
140,46,130,2,3932,0
141,47,66,3,14182,0
142,47,55,2,11943,5
143,47,107,2,2852,10
144,47,65,3,4314,0
145,48,128,2,8256,0
146,49,5,3,12605,10
147,49,70,3,23703,15
148,50,66,2,14182,20
149,50,135,2,4575,15
150,50,148,3,23262,15
151,50,90,2,2547,5
152,51,17,1,22827,5
153,51,142,1,7481,20
154,51,9,3,10988,0
155,51,21,1,22149,15
156,51,14,1,34891,0
157,52,131,3,18705,5
158,52,132,1,29436,0
159,52,5,3,12605,15
160,52,2,2,4027,10
161,52,144,2,6276,0
162,53,142,1,7481,0
163,54,22,3,7737,0
164,54,100,3,10475,0
165,54,109,2,7325,15
166,54,125,1,106692,15
167,55,16,2,11167,20
168,55,3,2,4862,15
169,55,46,2,24848,10
170,55,23,1,12370,10
171,56,21,3,22149,0
172,57,56,3,39996,0
173,58,146,3,2879,15
174,58,88,1,2914,10
175,58,104,3,1014,0
176,58,38,1,61947,0
177,59,107,2,2852,0
178,59,87,2,6253,10
179,59,8,2,7533,5
180,59,73,1,4391,15
181,59,123,3,5135,15
182,60,23,2,12370,0
183,61,85,1,96244,0
184,61,96,2,31762,0
185,61,29,2,5679,0
186,61,25,1,21576,0
187,62,24,2,22479,10
188,63,78,2,25106,5
189,64,46,2,24848,5
190,64,103,1,5734,0
191,64,38,1,61947,5
192,64,72,2,56852,5
193,64,81,2,1827,5
194,65,53,2,6141,0
195,65,125,2,106692,0
196,65,29,3,5679,5
197,65,37,2,13473,5
198,66,54,1,23925,5
199,66,130,2,3932,0
200,66,84,3,13163,15
201,67,106,3,8943,0
202,67,97,3,31743,10
203,67,31,1,18801,15
204,68,120,3,22987,0
205,68,78,2,25106,15
206,69,116,1,49805,5
207,69,101,3,104734,5
208,70,96,3,31762,20
209,71,94,3,24419,10
210,71,45,1,4793,10
211,72,27,2,5124,0
212,73,106,1,8943,0
213,73,126,1,44365,5
214,73,136,1,18015,0
215,74,91,3,4612,5
216,74,124,2,802,5
217,74,55,1,11943,5
218,75,6,2,2386,15
219,76,149,2,21714,10
220,76,43,2,69132,5
221,77,107,3,2852,5
222,77,8,2,7533,0
223,77,53,3,6141,0
224,77,123,1,5135,0
225,78,53,2,6141,15
226,78,125,2,106692,10
227,78,31,3,18801,0
228,79,125,3,106692,10
229,79,47,1,26189,15
230,79,80,1,25826,0
231,80,138,2,5435,10
232,80,105,1,5388,10
233,81,133,1,7704,0
234,81,77,2,16368,20
235,82,37,3,13473,5
236,82,52,2,10374,15
237,82,104,2,1014,5
238,82,137,3,98300,20
239,83,9,3,10988,0
240,83,74,1,5168,20
241,83,60,2,87675,10
242,84,97,1,31743,5
243,84,146,1,2879,15
244,84,12,3,8038,20
245,84,120,1,22987,0
246,84,147,1,7155,5
247,85,64,1,11154,20
248,86,38,2,61947,10
249,86,55,3,11943,0
250,86,17,2,22827,15
251,86,93,2,44770,0
252,86,144,3,6276,0
253,87,74,3,5168,0
254,88,133,2,7704,5
255,88,39,1,11179,15
256,88,72,1,56852,5
257,88,112,3,8812,15
258,89,87,3,6253,15
259,89,1,3,22303,0
260,89,25,1,21576,20
261,89,125,3,106692,5
262,90,76,3,21281,0
263,90,90,3,2547,20
264,90,148,2,23262,20
265,91,43,2,69132,5
266,92,43,3,69132,0
267,92,74,2,5168,0
268,92,25,2,21576,15
269,93,117,3,16602,0
270,93,25,1,21576,0
271,94,3,3,4862,0
272,94,91,2,4612,0
273,94,32,1,34048,5
274,94,116,1,49805,15
275,95,37,3,13473,0
276,95,39,3,11179,15
277,95,19,1,8855,5
278,95,143,2,3379,15
279,96,27,1,5124,20
280,97,38,3,61947,0
281,97,67,1,1118,10
282,97,74,3,5168,10
283,98,138,1,5435,5
284,98,51,2,17314,0
285,98,106,1,8943,5
286,98,79,3,7718,10
287,98,15,1,4792,10
288,99,115,1,3558,0
289,99,97,3,31743,0
290,99,147,1,7155,0
291,99,47,1,26189,0
292,99,128,1,8256,20
293,100,23,1,12370,0
294,100,145,1,2749,10
295,100,42,1,12253,20
296,100,75,1,15710,10
297,101,65,2,4314,0
298,101,16,2,11167,10
299,101,66,3,14182,0
300,101,24,2,22479,15
301,102,44,2,35472,0
302,103,35,1,3958,0
303,103,72,2,56852,0
304,103,32,3,34048,0
305,104,96,1,31762,0
306,104,16,1,11167,10
307,104,135,3,4575,15
308,104,45,1,4793,0
309,104,99,3,10798,10
310,105,128,2,8256,5
311,106,60,3,87675,0
312,106,86,2,5085,20
313,106,67,1,1118,10
314,106,112,2,8812,0
315,107,127,2,7024,20
316,108,54,3,23925,10
317,108,78,1,25106,5
318,108,81,2,1827,10
319,109,110,1,1902,0
320,110,101,3,104734,15
321,111,17,1,22827,0
322,111,39,3,11179,5
323,111,75,3,15710,0
324,111,25,2,21576,15
325,112,21,1,22149,0
326,112,17,2,22827,20
327,112,119,2,5947,20
328,112,36,2,6799,15
329,113,37,1,13473,0
330,113,29,1,5679,5
331,114,82,1,20813,0
332,114,126,3,44365,0
333,114,71,3,6424,15
334,114,32,3,34048,0
335,115,139,1,36748,0
336,115,14,2,34891,20
337,115,80,2,25826,10
338,115,70,3,23703,10
339,116,17,1,22827,0
340,117,70,3,23703,5
341,117,21,1,22149,0
342,117,6,2,2386,0
343,117,18,1,69910,5
344,117,53,1,6141,0
345,118,103,3,5734,5
346,119,122,3,5675,10
347,119,41,3,62050,0
348,119,9,3,10988,0
349,120,75,2,15710,0
350,121,5,2,12605,0
351,121,103,3,5734,10
352,121,95,2,5785,5
353,121,130,2,3932,0
354,121,147,1,7155,0
355,122,143,1,3379,0
356,122,95,3,5785,0
357,122,63,2,32668,10
358,122,43,3,69132,0
359,123,48,3,4231,0
360,123,64,3,11154,15
361,124,39,1,11179,5
362,124,51,1,17314,0
363,124,134,1,3277,0
364,124,146,3,2879,0
365,124,83,1,4219,10
366,125,48,1,4231,0
367,125,86,3,5085,15
368,125,17,1,22827,20
369,126,107,2,2852,0
370,126,27,1,5124,0
371,126,90,3,2547,5
372,127,47,1,26189,15
373,127,101,1,104734,15
374,127,82,3,20813,5
375,127,79,3,7718,0
376,127,35,1,3958,10
377,128,28,1,5795,0
378,128,135,2,4575,0
379,128,39,3,11179,0
380,128,88,3,2914,15
381,128,21,3,22149,15
382,129,93,2,44770,20
383,130,45,2,4793,10
384,130,111,2,5235,0
385,130,134,2,3277,20
386,130,101,3,104734,15
387,131,85,2,96244,0
388,132,148,1,23262,0
389,133,43,1,69132,0
390,133,15,2,4792,15
391,133,27,3,5124,15
