order_id,customer_id,store_id,order_date,channel,order_status
1,380,2,2026-09-11,marketplace,completed
2,256,3,2026-02-17,mobile_app,completed
3,177,2,2026-08-27,marketplace,cancelled
4,179,2,2026-09-13,web,completed
5,378,3,2026-03-11,marketplace,cancelled
6,491,7,2026-08-26,marketplace,completed
7,76,6,2026-08-02,web,completed
8,532,2,2026-08-23,mobile_app,completed
9,547,3,2026-02-21,marketplace,completed
10,32,5,2026-08-16,marketplace,refunded
11,451,4,2026-06-07,mobile_app,completed
12,274,2,2026-05-01,web,completed
13,195,8,2026-08-09,mobile_app,completed
14,362,8,2026-07-25,marketplace,completed
15,47,4,2026-01-22,mobile_app,completed
16,348,3,2026-06-18,web,refunded
17,144,6,2026-04-16,web,refunded
18,340,5,2026-01-11,marketplace,refunded
19,593,1,2026-05-15,marketplace,completed
20,452,7,2026-08-28,marketplace,completed
21,64,4,2026-08-29,marketplace,completed
22,363,4,2026-07-22,web,completed
23,492,5,2026-05-21,mobile_app,completed
24,354,5,2026-07-25,marketplace,completed
25,263,5,2026-07-23,marketplace,completed
26,239,6,2026-03-16,marketplace,completed
27,295,1,2026-05-19,web,completed
28,10,2,2026-02-04,mobile_app,completed
29,116,8,2026-08-21,marketplace,completed
30,416,2,2026-06-11,mobile_app,completed
31,332,5,2026-09-12,mobile_app,completed
32,587,6,2025-09-10,marketplace,completed
33,515,5,2026-08-16,mobile_app,cancelled
34,224,2,2026-07-27,marketplace,cancelled
35,169,8,2026-07-05,web,refunded
36,136,1,2026-08-25,marketplace,completed
37,66,2,2025-05-30,mobile_app,refunded
38,139,7,2026-08-14,mobile_app,completed
39,131,1,2026-07-17,web,refunded
40,159,2,2025-09-29,web,completed
41,50,7,2026-07-06,mobile_app,cancelled
42,240,6,2026-09-10,marketplace,refunded
43,438,6,2026-04-18,marketplace,completed
44,231,3,2026-05-01,mobile_app,refunded
45,543,5,2026-08-22,web,completed
46,275,1,2026-01-27,web,cancelled
47,16,2,2026-05-10,marketplace,refunded
48,316,8,2026-08-09,mobile_app,completed
49,380,4,2026-09-08,marketplace,completed
50,428,6,2026-02-02,web,completed
51,173,8,2026-05-11,web,completed
52,224,1,2026-08-29,marketplace,completed
53,515,3,2026-09-01,web,cancelled
54,197,6,2026-09-03,mobile_app,completed
55,33,7,2026-05-15,marketplace,completed
56,44,8,2026-07-10,mobile_app,completed
57,557,3,2026-09-08,mobile_app,completed
58,408,4,2026-06-06,marketplace,completed
59,448,6,2026-03-29,marketplace,refunded
60,390,5,2025-07-03,web,cancelled
61,390,3,2026-05-20,marketplace,cancelled
62,192,7,2026-03-12,web,completed
63,96,6,2026-05-09,mobile_app,completed
64,87,4,2026-06-16,marketplace,refunded
65,79,4,2026-07-17,marketplace,completed
66,343,3,2026-08-06,mobile_app,cancelled
67,503,6,2026-08-14,mobile_app,cancelled
68,564,8,2026-05-27,marketplace,refunded
69,512,4,2026-05-06,mobile_app,completed
70,597,7,2026-08-18,marketplace,completed
71,550,2,2026-08-28,web,completed
72,410,7,2026-03-06,web,refunded
73,523,4,2026-09-14,mobile_app,completed
74,426,3,2026-07-20,mobile_app,completed
75,464,1,2025-10-29,marketplace,completed
76,112,4,2026-07-19,marketplace,cancelled
77,238,3,2026-07-16,web,completed
78,65,3,2026-07-03,mobile_app,completed
79,398,2,2026-06-05,mobile_app,completed
80,121,3,2026-03-27,mobile_app,completed
81,393,3,2026-09-04,marketplace,completed
82,462,6,2026-07-03,web,completed
83,455,1,2026-06-04,web,completed
84,508,2,2026-08-31,mobile_app,completed
85,270,2,2026-05-05,mobile_app,refunded
86,360,7,2026-09-15,web,cancelled
87,527,3,2026-07-02,mobile_app,cancelled
88,136,6,2026-07-22,web,completed
89,285,6,2026-09-07,mobile_app,refunded
90,224,8,2026-08-19,mobile_app,cancelled
91,352,8,2025-12-16,web,completed
92,1,3,2026-02-26,marketplace,completed
93,170,5,2026-01-04,marketplace,completed
94,489,4,2025-09-11,marketplace,completed
95,105,5,2026-01-18,web,completed
96,219,8,2026-09-13,web,refunded
97,127,6,2026-07-14,mobile_app,cancelled
98,292,5,2026-01-13,web,refunded
99,13,3,2026-05-08,mobile_app,refunded
